Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00196170680937007,-0.0309340370914814,0.0868228015469567,0,0,0,0.458411450979246,0.000542871589384657,9.16830524623752E-08,-1.69749191833194E-07,0.0010867166848476,3.00802775983817E-06,0.000657663684621468,0,0,0,0,0,0,package://oscar/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
triangle_link,-0.0147994463666398,0.00958206252244163,0.161163107603643,0,0,0,0.074547880950281,5.43833714550981E-05,-1.64485303519001E-06,1.46443358252426E-06,6.94150724784236E-05,-7.5546027497944E-07,2.41737178555845E-05,0,0,0,0,0,0,package://oscar/meshes/triangle_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/triangle_link.STL,,big_triangle-1,Origin_triangle_link_joint,,triangle_link_joint,fixed,0.15787,0.073755,-0.029117,1.5795,0,0,base_link,0,0,0,,,,,,,,,,,,
another_triangle_link,0.00503934592451483,0.00923791259517172,0.161701894420996,0,0,0,0.0721297540054504,5.39632726368139E-05,1.56283388931883E-06,-1.44322942163294E-06,6.91067908994078E-05,5.0215436817381E-08,2.3503289928344E-05,0,0,0,0,0,0,package://oscar/meshes/another_triangle_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/another_triangle_link.STL,,big_non-actuated_triangle_mirror-1,Origin_another_triangle_link_joint,,another_triangle_link_joint,fixed,0.2065,-0.000769,0.2154,-1.5752,-1.5533,1.5664,triangle_link,0,0,0,,,,,,,,,,,,
rectangle_link,-0.0316832442893363,-0.0186100171375605,0.155763644853517,0,0,0,0.164023892383727,0.000289386199645965,-3.43537232454041E-06,-1.71295548901096E-06,9.4604969825702E-05,1.74658343347157E-06,0.000341456068141042,0,0,0,0,0,0,package://oscar/meshes/rectangle_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/rectangle_link.STL,,rectangle_mirror-1,Origin_rectangle_link_joint,,rectangle_link_joint,fixed,0.076757,0.15632,0.14805,-1.5795,0,3.1329,another_triangle_link,0,0,0,,,,,,,,,,,,
middle_triangle_link,0.0588421497135379,-0.0767583372391954,0.00268541721004559,0,0,0,0.0834635434624063,4.56673953012276E-05,-6.35604825028308E-08,2.01812979626431E-06,2.18500355396937E-05,2.35878887686961E-21,5.43856488817236E-05,0,0,0,0,0,0,package://oscar/meshes/middle_triangle_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/middle_triangle_link.STL,,big_triangle_middle-1,Origin_middle_triangle_link_joint,Axis_middle_triangle_link_joint,middle_triangle_link_joint,continuous,-0.080019,-0.167,-0.018,3.1416,0,-1.5708,base_link,0,1,0,,,,,,,,,,,,
middle_left_triangle,-0.0402829481843221,-0.01584473946284,0.0100577286903399,0,0,0,0.0478134415054504,1.16931866407475E-05,-3.1676773406174E-06,-1.41779823992197E-06,1.22757737145985E-05,3.6055996039486E-07,1.56922706277985E-05,0,0,0,0,0,0,package://oscar/meshes/middle_left_triangle.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/middle_left_triangle.STL,,small_triangle-1,Origin_middle_left_triangle_joint,Axis_middle_left_triangle_joint,middle_left_triangle_joint,continuous,0.1083,-0.1083,0.012,-3.1416,0,1.5708,middle_triangle_link,0.70711,0.70711,0,,,,,,,,,,,,
middle_right_triangle,0.0174046059751574,0.0680057656005417,-0.0100577286903403,0,0,0,0.0478134415054504,1.16931866407475E-05,-3.1676773406174E-06,1.41779823992197E-06,1.22757737145985E-05,-3.60559960394858E-07,1.56922706277985E-05,0,0,0,0,0,0,package://oscar/meshes/middle_right_triangle.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/middle_right_triangle.STL,,small_triangle_mirror-1,Origin_middle_right_triangle_joint,Axis_middle_right_triangle_joint,middle_right_triangle_joint,continuous,0.02445,0.0059497,0.012,0,0,-1.5708,middle_triangle_link,0.70711,0.70711,0,,,,,,,,,,,,
left_wheel_link,-0.00784940612576867,4.28642898509662E-05,-9.31058257116688E-06,0,0,0,0.0274335863022573,1.13862377406955E-05,-4.63211245308703E-15,9.35749929815327E-15,6.00789413976309E-06,-1.82633067451501E-08,6.02049780409005E-06,0,0,0,0,0,0,package://oscar/meshes/left_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/left_wheel_link.STL,,wheel-1,Origin_left_wheel_link_joint,Axis_left_wheel_link_joint,left_wheel_link_joint,continuous,0.0586,-0.08,-0.035,2.7498,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
right_wheel_link,-0.00784940612576873,4.28642898509454E-05,-9.31058257166995E-06,0,0,0,0.0274335863022572,1.13862377406954E-05,-4.63212897846196E-15,9.35757345633532E-15,6.00789413976302E-06,-1.82633067450596E-08,6.02049780409007E-06,0,0,0,0,0,0,package://oscar/meshes/right_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/right_wheel_link.STL,,wheel-2,Origin_right_wheel_link_joint,Axis_right_wheel_link_joint,right_wheel_link_joint,continuous,-0.0586,-0.08,-0.035,1.5708,0,0,base_link,1,0,0,,,,,,,,,,,,
mirror_trianglr_link,0.00587930458158875,0.00936443519989369,0.161452094196288,0,0,0,0.074547880950281,5.44136654321586E-05,1.8011855322131E-06,-1.43514860815113E-06,6.9397363779311E-05,4.69758482172569E-08,2.41611325776369E-05,0,0,0,0,0,0,package://oscar/meshes/mirror_trianglr_link.STL,1,1,1,1,0,0,0,0,0,0,package://oscar/meshes/mirror_trianglr_link.STL,,big_triangle_mirror-1,Origin_mirror_trianglr_link_joint,,mirror_trianglr_link_joint,fixed,-0.14887,0.073878,-0.031766,1.5621,-0.0087263,7.6155E-05,base_link,0,0,0,,,,,,,,,,,,
